Zeitstempel;"Verbrauch Gebaeude 1 Etage 0 Strom
So., 20.Apr. 2014 11:00;0,21;;0,41;;2640;;2,48;;
So., 20.Apr. 2014 11:15;0,24;;0,43;;2570;;2,48;;
So., 20.Apr. 2014 11:30;0,22;;0,42;;2650;;2,47;;
So., 20.Apr. 2014 11:45;0,2;;0,4;;2640;;2,49;;
So., 20.Apr. 2014 12:00;0,2;;0,39;;2630;;2,49;;
So., 20.Apr. 2014 12:15;0,2;;0,39;;2630;;2,49;;
So., 20.Apr. 2014 12:30;0,23;;0,43;;2610;;2,48;;
So., 20.Apr. 2014 12:45;0,23;;0,46;;2590;;2,48;;
So., 20.Apr. 2014 13:00;0,21;;0,42;;2610;;2,51;;
So., 20.Apr. 2014 13:15;0,2;;0,42;;2680;;2,46;;
So., 20.Apr. 2014 13:30;0,22;;0,4;;2630;;2,48;;
So., 20.Apr. 2014 13:45;0,2;;0,39;;2620;;2,52;;
So., 20.Apr. 2014 14:00;0,25;;0,4;;2630;;2,48;;
So., 20.Apr. 2014 14:15;0,22;;0,41;;2630;;2,48;;
So., 20.Apr. 2014 14:30;0,2;;0,43;;2680;;2,49;;
So., 20.Apr. 2014 14:45;0,19;;0,42;;2630;;2,48;;
So., 20.Apr. 2014 15:00;0,2;;0,4;;2610;;2,48;;
So., 20.Apr. 2014 15:15;0,28;;0,41;;2620;;2,48;;
So., 20.Apr. 2014 15:30;0,21;;0,4;;2640;;2,49;;
So., 20.Apr. 2014 15:45;0,2;;0,39;;2630;;2,48;;
So., 20.Apr. 2014 16:00;0,22;;0,43;;2610;;2,48;;
So., 20.Apr. 2014 16:15;0,25;;0,48;;2680;;2,47;;
So., 20.Apr. 2014 16:30;0,24;;0,41;;2630;;2,51;;
So., 20.Apr. 2014 16:45;0,23;;0,4;;2660;;2,48;;
So., 20.Apr. 2014 17:00;0,2;;0,39;;2610;;2,48;;
So., 20.Apr. 2014 17:15;0,2;;0,42;;2650;;2,49;;
So., 20.Apr. 2014 17:30;0,19;;0,44;;2670;;2,48;;
So., 20.Apr. 2014 17:45;0,21;;0,42;;2670;;2,48;;
So., 20.Apr. 2014 18:00;0,25;;0,43;;2650;;2,48;;
So., 20.Apr. 2014 18:15;0,2;;0,4;;2660;;2,48;;
So., 20.Apr. 2014 18:30;0,2;;0,4;;2660;;2,51;;
So., 20.Apr. 2014 18:45;0,21;;0,39;;2630;;2,49;;
So., 20.Apr. 2014 19:00;0,2;;0,39;;2660;;2,48;;
So., 20.Apr. 2014 19:15;0,26;;0,42;;2690;;2,49;;
So., 20.Apr. 2014 19:30;0,2;;0,44;;2610;;2,48;;
So., 20.Apr. 2014 19:45;0,19;;0,42;;2660;;2,48;;
So., 20.Apr. 2014 20:00;0,2;;0,4;;2640;;2,48;;
So., 20.Apr. 2014 20:15;0,21;;0,4;;2650;;2,5;;
So., 20.Apr. 2014 20:30;0,23;;0,4;;2650;;2,48;;
So., 20.Apr. 2014 20:45;0,27;;0,4;;2610;;2,49;;
So., 20.Apr. 2014 21:00;0,21;;0,42;;2610;;2,51;;
So., 20.Apr. 2014 21:15;0,21;;0,42;;2630;;2,48;;
So., 20.Apr. 2014 21:30;0,2;;0,41;;2670;;2,48;;
So., 20.Apr. 2014 21:45;0,22;;0,41;;2650;;2,49;;
So., 20.Apr. 2014 22:00;0,25;;0,41;;2620;;2,48;;
So., 20.Apr. 2014 22:15;0,2;;0,48;;2710;;2,49;;
So., 20.Apr. 2014 22:30;0,2;;0,41;;2640;;2,49;;
So., 20.Apr. 2014 22:45;0,2;;0,43;;2600;;2,48;;
So., 20.Apr. 2014 23:00;0,22;;0,41;;2650;;2,48;;
So., 20.Apr. 2014 23:15;0,23;;0,4;;2630;;2,51;;
So., 20.Apr. 2014 23:30;0,24;;0,4;;2600;;2,49;;
So., 20.Apr. 2014 23:45;0,2;;0,41;;2640;;2,48;;
Mo., 21.Apr. 2014 00:00;0,2;;0,4;;2610;;2,48;;
Mo., 21.Apr. 2014 00:15;0,22;;0,42;;2630;;2,48;;
Mo., 21.Apr. 2014 00:30;0,22;;0,42;;2690;;2,49;;
Mo., 21.Apr. 2014 00:45;0,23;;0,42;;2620;;2,48;;
Mo., 21.Apr. 2014 01:00;0,21;;0,39;;2610;;2,49;;
Mo., 21.Apr. 2014 01:15;0,2;;0,4;;2640;;2,49;;
Mo., 21.Apr. 2014 01:30;0,23;;0,39;;2630;;2,52;;
Mo., 21.Apr. 2014 01:45;0,22;;0,44;;2630;;2,48;;
Mo., 21.Apr. 2014 02:00;0,24;;0,42;;2700;;2,49;;
Mo., 21.Apr. 2014 02:15;0,23;;0,42;;2660;;2,48;;
Mo., 21.Apr. 2014 02:30;0,2;;0,4;;2610;;2,49;;
Mo., 21.Apr. 2014 02:45;0,21;;0,39;;2600;;2,47;;
Mo., 21.Apr. 2014 03:00;0,23;;0,39;;2630;;2,48;;
Mo., 21.Apr. 2014 03:15;0,23;;0,44;;2620;;2,51;;
Mo., 21.Apr. 2014 03:30;0,21;;0,42;;2630;;2,48;;
Mo., 21.Apr. 2014 03:45;0,2;;0,5;;2620;;2,49;;
Mo., 21.Apr. 2014 04:00;0,21;;0,41;;2600;;2,48;;
Mo., 21.Apr. 2014 04:15;0,22;;0,39;;2630;;2,48;;
Mo., 21.Apr. 2014 04:30;0,25;;0,4;;2640;;2,51;;
Mo., 21.Apr. 2014 04:45;0,21;;0,42;;2620;;2,48;;
Mo., 21.Apr. 2014 05:00;0,21;;0,41;;2650;;2,48;;
Mo., 21.Apr. 2014 05:15;0,2;;0,42;;2680;;2,48;;
Mo., 21.Apr. 2014 05:30;0,22;;0,42;;2600;;2,49;;
Mo., 21.Apr. 2014 05:45;0,25;;0,4;;2640;;2,48;;
Mo., 21.Apr. 2014 06:00;0,2;;0,4;;2670;;2,47;;
Mo., 21.Apr. 2014 06:15;0,2;;0,39;;2600;;2,49;;
Mo., 21.Apr. 2014 06:30;0,2;;0,4;;2600;;2,49;;
Mo., 21.Apr. 2014 06:45;0,21;;0,43;;2610;;2,48;;
Mo., 21.Apr. 2014 07:00;0,28;;0,41;;2610;;2,5;;
Mo., 21.Apr. 2014 07:15;0,21;;0,43;;2610;;2,46;;
Mo., 21.Apr. 2014 07:30;0,2;;0,39;;2610;;2,51;;
Mo., 21.Apr. 2014 07:45;0,23;;0,4;;2570;;2,49;;
Mo., 21.Apr. 2014 08:00;0,21;;0,43;;2590;;2,48;;
Mo., 21.Apr. 2014 08:15;0,22;;0,43;;2660;;2,48;;
Mo., 21.Apr. 2014 08:30;0,23;;0,43;;2650;;2,48;;
Mo., 21.Apr. 2014 08:45;0,2;;0,42;;2610;;2,49;;
Mo., 21.Apr. 2014 09:00;0,22;;0,4;;2580;;2,47;;
Mo., 21.Apr. 2014 09:15;0,45;;0,41;;2630;;2,51;;
Mo., 21.Apr. 2014 09:30;0,46;;0,4;;2660;;2,49;;
Mo., 21.Apr. 2014 09:45;0,48;;0,41;;2670;;2,48;;
Mo., 21.Apr. 2014 10:00;0,2;;0,43;;2770;;2,48;;
Mo., 21.Apr. 2014 10:15;0,2;;0,42;;2660;;2,49;;
Mo., 21.Apr. 2014 10:30;0,21;;0,49;;2700;;2,5;;
Mo., 21.Apr. 2014 10:45;0,22;;0,4;;2710;;2,49;;
Mo., 21.Apr. 2014 11:00;0,24;;0,4;;2760;;2,49;;
Mo., 21.Apr. 2014 11:15;0,2;;0,4;;2790;;2,49;;
Mo., 21.Apr. 2014 11:30;0,22;;0,44;;2740;;2,48;;
Mo., 21.Apr. 2014 11:45;0,24;;0,43;;2740;;2,5;;
Mo., 21.Apr. 2014 12:00;0,23;;0,42;;2720;;2,48;;
Mo., 21.Apr. 2014 12:15;0,27;;0,41;;2740;;2,48;;
Mo., 21.Apr. 2014 12:30;0,22;;0,4;;2760;;2,5;;
Mo., 21.Apr. 2014 12:45;0,21;;0,43;;2780;;2,49;;
Mo., 21.Apr. 2014 13:00;0,2;;0,41;;2720;;2,48;;
Mo., 21.Apr. 2014 13:15;0,25;;0,43;;2700;;2,5;;
Mo., 21.Apr. 2014 13:30;0,53;;0,44;;2700;;2,49;;
Mo., 21.Apr. 2014 13:45;0,4;;0,42;;2710;;2,48;;
Mo., 21.Apr. 2014 14:00;0,27;;0,4;;2730;;2,48;;
Mo., 21.Apr. 2014 14:15;0,44;;0,4;;2730;;2,48;;
Mo., 21.Apr. 2014 14:30;0,53;;0,4;;2700;;2,48;;
Mo., 21.Apr. 2014 14:45;0,44;;0,42;;2710;;2,48;;
Mo., 21.Apr. 2014 15:00;0,43;;0,42;;2730;;2,49;;
Mo., 21.Apr. 2014 15:15;0,45;;0,43;;2690;;2,48;;
Mo., 21.Apr. 2014 15:30;0,58;;0,4;;2700;;2,49;;
Mo., 21.Apr. 2014 15:45;0,57;;0,43;;2700;;2,48;;
Mo., 21.Apr. 2014 16:00;0,55;;0,4;;2690;;2,52;;
Mo., 21.Apr. 2014 16:15;0,54;;0,4;;2710;;2,55;;
Mo., 21.Apr. 2014 16:30;0,54;;0,43;;2700;;2,57;;
Mo., 21.Apr. 2014 16:45;0,57;;0,43;;2660;;2,49;;
Mo., 21.Apr. 2014 17:00;0,42;;0,48;;2660;;2,5;;
Mo., 21.Apr. 2014 17:15;0,22;;0,4;;2680;;2,48;;
Mo., 21.Apr. 2014 17:30;0,2;;0,44;;2610;;2,49;;
Mo., 21.Apr. 2014 17:45;0,19;;0,4;;2630;;2,48;;
Mo., 21.Apr. 2014 18:00;0,2;;0,42;;2650;;2,48;;
Mo., 21.Apr. 2014 18:15;0,24;;0,42;;2610;;2,48;;
Mo., 21.Apr. 2014 18:30;0,22;;0,42;;2600;;2,48;;
Mo., 21.Apr. 2014 18:45;0,19;;0,42;;2630;;2,48;;
Mo., 21.Apr. 2014 19:00;0,2;;0,39;;2630;;2,48;;
Mo., 21.Apr. 2014 19:15;0,15;;0,4;;2630;;2,51;;
Mo., 21.Apr. 2014 19:30;0,18;;0,39;;2610;;2,48;;
Mo., 21.Apr. 2014 19:45;0,15;;0,42;;2620;;2,48;;
Mo., 21.Apr. 2014 20:00;0,14;;0,42;;2600;;2,47;;
Mo., 21.Apr. 2014 20:15;0,13;;0,42;;2610;;2,48;;
Mo., 21.Apr. 2014 20:30;0,13;;0,39;;2670;;2,48;;
Mo., 21.Apr. 2014 20:45;0,15;;0,42;;2670;;2,48;;
Mo., 21.Apr. 2014 21:00;0,19;;0,4;;2610;;2,48;;
Mo., 21.Apr. 2014 21:15;0,16;;0,4;;2620;;2,48;;
Mo., 21.Apr. 2014 21:30;0,15;;0,42;;2650;;2,49;;
Mo., 21.Apr. 2014 21:45;0,14;;0,42;;2640;;2,48;;
Mo., 21.Apr. 2014 22:00;0,14;;0,41;;2650;;2,47;;
Mo., 21.Apr. 2014 22:15;0,19;;0,4;;2630;;2,49;;
Mo., 21.Apr. 2014 22:30;0,14;;0,42;;2610;;2,5;;
Mo., 21.Apr. 2014 22:45;0,13;;0,43;;2610;;2,48;;
Mo., 21.Apr. 2014 23:00;0,14;;0,42;;2670;;2,49;;
Mo., 21.Apr. 2014 23:15;0,14;;0,42;;2630;;2,49;;
Mo., 21.Apr. 2014 23:30;0,16;;0,48;;2660;;2,47;;
Mo., 21.Apr. 2014 23:45;0,18;;0,4;;2670;;2,5;;
Di., 22.Apr. 2014 00:00;0,16;;0,4;;2610;;2,48;;
Di., 22.Apr. 2014 00:15;0,14;;0,39;;2660;;2,49;;
Di., 22.Apr. 2014 00:30;0,14;;0,41;;2670;;2,49;;
Di., 22.Apr. 2014 00:45;0,22;;0,42;;2640;;2,48;;
Di., 22.Apr. 2014 01:00;0,18;;0,42;;2640;;2,49;;
Di., 22.Apr. 2014 01:15;0,14;;0,42;;2620;;2,49;;
Di., 22.Apr. 2014 01:30;0,16;;0,42;;2630;;2,49;;
Di., 22.Apr. 2014 01:45;0,14;;0,39;;2630;;2,48;;
Di., 22.Apr. 2014 02:00;0,16;;0,4;;2630;;2,5;;
Di., 22.Apr. 2014 02:15;0,19;;0,41;;2640;;2,49;;
Di., 22.Apr. 2014 02:30;0,13;;0,42;;2630;;2,48;;
Di., 22.Apr. 2014 02:45;0,14;;0,42;;2660;;2,49;;
Di., 22.Apr. 2014 03:00;0,13;;0,4;;2610;;2,49;;
Di., 22.Apr. 2014 03:15;0,16;;0,43;;2660;;2,48;;
Di., 22.Apr. 2014 03:30;0,17;;0,39;;2630;;2,49;;
Di., 22.Apr. 2014 03:45;0,17;;0,41;;2600;;2,49;;
Di., 22.Apr. 2014 04:00;0,13;;0,44;;2640;;2,48;;
Di., 22.Apr. 2014 04:15;0,14;;0,43;;2620;;2,48;;
Di., 22.Apr. 2014 04:30;0,15;;0,41;;2690;;2,48;;
Di., 22.Apr. 2014 04:45;0,15;;0,39;;2650;;2,49;;
Di., 22.Apr. 2014 05:00;0,17;;0,4;;2630;;2,49;;
Di., 22.Apr. 2014 05:15;0,14;;0,39;;2630;;2,51;;
Di., 22.Apr. 2014 05:30;0,14;;0,48;;2640;;2,48;;
Di., 22.Apr. 2014 05:45;0,15;;0,42;;2690;;2,48;;
Di., 22.Apr. 2014 06:00;0,17;;0,42;;2640;;2,49;;
Di., 22.Apr. 2014 06:15;0,24;;0,4;;2660;;2,49;;
Di., 22.Apr. 2014 06:30;0,23;;0,39;;2660;;2,49;;
Di., 22.Apr. 2014 06:45;0,2;;0,4;;2650;;2,51;;
Di., 22.Apr. 2014 07:00;0,21;;0,5;;2610;;2,62;;
Di., 22.Apr. 2014 07:15;0,22;;0,55;;2650;;2,7;;
Di., 22.Apr. 2014 07:30;0,24;;0,58;;2630;;2,74;;
Di., 22.Apr. 2014 07:45;0,54;;0,8;;2790;;2,75;;
Di., 22.Apr. 2014 08:00;0,69;;0,83;;2780;;2,83;;
Di., 22.Apr. 2014 08:15;0,92;;1,04;;2710;;2,82;;
Di., 22.Apr. 2014 08:30;0,93;;1,31;;2720;;2,85;;
Di., 22.Apr. 2014 08:45;0,91;;1,66;;2690;;2,85;;
Di., 22.Apr. 2014 09:00;1,03;;1,75;;2730;;2,84;;
Di., 22.Apr. 2014 09:15;1,14;;1,98;;2670;;2,85;;
Di., 22.Apr. 2014 09:30;1,51;;2,05;;2600;;2,88;;
Di., 22.Apr. 2014 09:45;1,55;;2,16;;2670;;2,88;;
Di., 22.Apr. 2014 10:00;1,37;;2,15;;2730;;2,89;;
Di., 22.Apr. 2014 10:15;1,41;;2,16;;2680;;2,9;;
Di., 22.Apr. 2014 10:30;1,41;;1,99;;2660;;2,91;;
Di., 22.Apr. 2014 10:45;1,25;;1,82;;2650;;2,82;;
Di., 22.Apr. 2014 11:00;1,06;;1,82;;2740;;2,81;;
Di., 22.Apr. 2014 11:15;1,03;;1,74;;2660;;2,81;;
Di., 22.Apr. 2014 11:30;1,12;;1,84;;2750;;2,81;;
Di., 22.Apr. 2014 11:45;1,04;;1,81;;2650;;2,82;;
Di., 22.Apr. 2014 12:00;1,2;;1,99;;2660;;2,78;;
Di., 22.Apr. 2014 12:15;1,31;;1,81;;2770;;2,76;;
Di., 22.Apr. 2014 12:30;1,34;;1,72;;2750;;2,76;;
Di., 22.Apr. 2014 12:45;1,41;;1,71;;2730;;2,79;;
Di., 22.Apr. 2014 13:00;1,07;;1,85;;2710;;2,77;;
Di., 22.Apr. 2014 13:15;1,15;;1,71;;2700;;2,82;;
Di., 22.Apr. 2014 13:30;1,06;;1,78;;2640;;2,83;;
Di., 22.Apr. 2014 13:45;1,15;;1,75;;2650;;2,85;;
Di., 22.Apr. 2014 14:00;1,07;;1,91;;2790;;2,8;;
Di., 22.Apr. 2014 14:15;1,08;;1,75;;2650;;2,8;;
Di., 22.Apr. 2014 14:30;1,11;;1,71;;2620;;2,82;;
Di., 22.Apr. 2014 14:45;1,12;;1,66;;2760;;2,81;;
Di., 22.Apr. 2014 15:00;1,1;;1,64;;2720;;2,79;;
Di., 22.Apr. 2014 15:15;1,07;;1,6;;2640;;2,83;;
Di., 22.Apr. 2014 15:30;1,09;;1,66;;2790;;2,79;;
Di., 22.Apr. 2014 15:45;1,11;;1,65;;2760;;2,78;;
Di., 22.Apr. 2014 16:00;1,11;;1,72;;2740;;2,78;;
Di., 22.Apr. 2014 16:15;1,13;;1,64;;2690;;2,7;;
Di., 22.Apr. 2014 16:30;0,94;;1,61;;2700;;2,59;;
Di., 22.Apr. 2014 16:45;0,93;;1,57;;2640;;2,56;;
Di., 22.Apr. 2014 17:00;0,66;;1,36;;2660;;2,53;;
Di., 22.Apr. 2014 17:15;0,34;;1,17;;2750;;2,54;;
Di., 22.Apr. 2014 17:30;0,37;;1,24;;2670;;2,54;;
Di., 22.Apr. 2014 17:45;0,33;;1,11;;2850;;2,53;;
Di., 22.Apr. 2014 18:00;0,42;;1,03;;2650;;2,53;;
Di., 22.Apr. 2014 18:15;0,61;;0,81;;2650;;2,5;;
Di., 22.Apr. 2014 18:30;0,22;;0,64;;2650;;2,52;;
Di., 22.Apr. 2014 18:45;0,23;;0,51;;2650;;2,5;;
Di., 22.Apr. 2014 19:00;0,54;;0,94;;2670;;2,49;;
Di., 22.Apr. 2014 19:15;0,18;;0,46;;2670;;2,49;;
Di., 22.Apr. 2014 19:30;0,35;;0,48;;2680;;2,49;;
Di., 22.Apr. 2014 19:45;0,41;;0,49;;2650;;2,5;;
Di., 22.Apr. 2014 20:00;0,44;;0,48;;2650;;2,48;;
Di., 22.Apr. 2014 20:15;0,16;;0,46;;2690;;2,49;;
Di., 22.Apr. 2014 20:30;0,2;;0,46;;2650;;2,51;;
Di., 22.Apr. 2014 20:45;0,18;;0,45;;2710;;2,49;;
Di., 22.Apr. 2014 21:00;0,15;;0,51;;2640;;2,47;;
Di., 22.Apr. 2014 21:15;0,16;;0,48;;2660;;2,52;;
Di., 22.Apr. 2014 21:30;0,15;;0,5;;2650;;2,49;;
Di., 22.Apr. 2014 21:45;0,16;;0,49;;2670;;2,48;;
Di., 22.Apr. 2014 22:00;0,21;;0,45;;2640;;2,49;;
Di., 22.Apr. 2014 22:15;0,15;;0,46;;2630;;2,49;;
Di., 22.Apr. 2014 22:30;0,15;;0,45;;2650;;2,49;;
Di., 22.Apr. 2014 22:45;0,16;;0,47;;2640;;2,49;;
Di., 22.Apr. 2014 23:00;0,18;;0,49;;2660;;2,48;;
Di., 22.Apr. 2014 23:15;0,18;;0,48;;2680;;2,48;;
Di., 22.Apr. 2014 23:30;0,2;;0,47;;2640;;2,49;;
Di., 22.Apr. 2014 23:45;0,15;;0,48;;2670;;2,48;;
Mi., 23.Apr. 2014 00:00;0,18;;0,45;;2610;;2,51;;
Mi., 23.Apr. 2014 00:15;0,17;;0,53;;2640;;2,49;;
Mi., 23.Apr. 2014 00:30;0,17;;0,47;;2670;;2,49;;
Mi., 23.Apr. 2014 00:45;0,19;;0,49;;2650;;2,49;;
Mi., 23.Apr. 2014 01:00;0,16;;0,48;;2610;;2,48;;
Mi., 23.Apr. 2014 01:15;0,15;;0,47;;2630;;2,49;;
Mi., 23.Apr. 2014 01:30;0,18;;0,46;;2610;;2,53;;
Mi., 23.Apr. 2014 01:45;0,17;;0,46;;2640;;2,49;;
Mi., 23.Apr. 2014 02:00;0,18;;0,46;;2630;;2,49;;
Mi., 23.Apr. 2014 02:15;0,19;;0,55;;2650;;2,49;;
Mi., 23.Apr. 2014 02:30;0,15;;0,48;;2610;;2,48;;
Mi., 23.Apr. 2014 02:45;0,16;;0,48;;2610;;2,48;;
Mi., 23.Apr. 2014 03:00;0,18;;0,45;;2690;;2,51;;
Mi., 23.Apr. 2014 03:15;0,15;;0,46;;2660;;2,48;;
Mi., 23.Apr. 2014 03:30;0,18;;0,45;;2630;;2,48;;
Mi., 23.Apr. 2014 03:45;0,15;;0,48;;2610;;2,48;;
Mi., 23.Apr. 2014 04:00;0,16;;0,49;;2640;;2,49;;
Mi., 23.Apr. 2014 04:15;0,17;;0,48;;2620;;2,48;;
Mi., 23.Apr. 2014 04:30;0,15;;0,46;;2650;;2,49;;
Mi., 23.Apr. 2014 04:45;0,22;;0,48;;2670;;2,49;;
Mi., 23.Apr. 2014 05:00;0,15;;0,45;;2640;;2,48;;
Mi., 23.Apr. 2014 05:15;0,18;;0,46;;2610;;2,48;;
Mi., 23.Apr. 2014 05:30;0,23;;0,48;;2660;;2,48;;
Mi., 23.Apr. 2014 05:45;0,16;;0,48;;2690;;2,49;;
Mi., 23.Apr. 2014 06:00;0,15;;0,48;;2660;;2,48;;
Mi., 23.Apr. 2014 06:15;0,24;;0,51;;2620;;2,49;;
Mi., 23.Apr. 2014 06:30;0,22;;0,46;;2680;;2,51;;
Mi., 23.Apr. 2014 06:45;0,24;;0,48;;2610;;2,48;;
Mi., 23.Apr. 2014 07:00;0,22;;0,56;;2650;;2,63;;
Mi., 23.Apr. 2014 07:15;0,22;;0,57;;2650;;2,69;;
Mi., 23.Apr. 2014 07:30;0,52;;0,59;;2780;;2,73;;
Mi., 23.Apr. 2014 07:45;0,59;;0,71;;2690;;2,75;;
Mi., 23.Apr. 2014 08:00;0,72;;1,02;;2750;;2,8;;
Mi., 23.Apr. 2014 08:15;0,88;;0,98;;2660;;2,84;;
Mi., 23.Apr. 2014 08:30;1,08;;1,14;;2810;;2,8;;
Mi., 23.Apr. 2014 08:45;0,93;;1,32;;2680;;2,76;;
Mi., 23.Apr. 2014 09:00;0,93;;1,7;;2680;;2,77;;
Mi., 23.Apr. 2014 09:15;0,95;;1,81;;2750;;2,78;;
Mi., 23.Apr. 2014 09:30;1,25;;1,73;;2690;;2,78;;
Mi., 23.Apr. 2014 09:45;0,97;;1,65;;2650;;2,79;;
Mi., 23.Apr. 2014 10:00;0,97;;1,62;;2680;;2,79;;
Mi., 23.Apr. 2014 10:15;0,97;;1,68;;2670;;2,79;;
Mi., 23.Apr. 2014 10:30;1,13;;1,69;;2630;;2,8;;
Mi., 23.Apr. 2014 10:45;1,01;;1,62;;2630;;2,83;;
Mi., 23.Apr. 2014 11:00;1,14;;1,72;;2690;;2,82;;
Mi., 23.Apr. 2014 11:15;1,06;;1,74;;2670;;2,82;;
Mi., 23.Apr. 2014 11:30;1,1;;1,64;;2670;;2,81;;
Mi., 23.Apr. 2014 11:45;1,14;;1,85;;2650;;2,8;;
Mi., 23.Apr. 2014 12:00;1;;1,72;;2780;;2,8;;
Mi., 23.Apr. 2014 12:15;0,79;;1,62;;2760;;2,8;;
Mi., 23.Apr. 2014 12:30;1;;1,56;;2720;;2,85;;
Mi., 23.Apr. 2014 12:45;1,1;;1,45;;2660;;2,8;;
Mi., 23.Apr. 2014 13:00;1,17;;1,64;;2740;;2,77;;
Mi., 23.Apr. 2014 13:15;1,1;;1,65;;2700;;2,8;;
Mi., 23.Apr. 2014 13:30;0,99;;1,51;;2650;;2,81;;
Mi., 23.Apr. 2014 13:45;1,06;;1,75;;2760;;2,91;;
Mi., 23.Apr. 2014 14:00;1,06;;1,52;;2730;;3,08;;
Mi., 23.Apr. 2014 14:15;1,09;;2,13;;2680;;3,13;;
Mi., 23.Apr. 2014 14:30;1;;2,02;;2660;;3,11;;
Mi., 23.Apr. 2014 14:45;1,16;;1,79;;2800;;3,03;;
Mi., 23.Apr. 2014 15:00;1,1;;1,78;;2810;;3,03;;
Mi., 23.Apr. 2014 15:15;1,03;;1,82;;2720;;3,04;;
Mi., 23.Apr. 2014 15:30;1,1;;1,99;;2690;;2,99;;
Mi., 23.Apr. 2014 15:45;1,1;;1,59;;2720;;2,88;;
Mi., 23.Apr. 2014 16:00;1,06;;1,55;;2720;;2,74;;
Mi., 23.Apr. 2014 16:15;1,04;;1,43;;2750;;2,65;;
Mi., 23.Apr. 2014 16:30;0,97;;1,37;;2690;;2,56;;
Mi., 23.Apr. 2014 16:45;0,88;;1,31;;2720;;2,56;;
Mi., 23.Apr. 2014 17:00;0,74;;1,33;;2760;;2,52;;
Mi., 23.Apr. 2014 17:15;0,73;;1,14;;2690;;2,52;;
Mi., 23.Apr. 2014 17:30;0,7;;0,94;;2730;;2,52;;
Mi., 23.Apr. 2014 17:45;0,24;;0,78;;2710;;2,51;;
Mi., 23.Apr. 2014 18:00;0,26;;0,61;;2670;;2,51;;
Mi., 23.Apr. 2014 18:15;0,21;;0,55;;2700;;2,51;;
Mi., 23.Apr. 2014 18:30;0,61;;0,52;;2700;;2,52;;
Mi., 23.Apr. 2014 18:45;0,35;;0,51;;3130;;2,48;;
Mi., 23.Apr. 2014 19:00;0,28;;0,63;;2690;;2,49;;
Mi., 23.Apr. 2014 19:15;0,81;;0,72;;2660;;2,49;;
Mi., 23.Apr. 2014 19:30;0,45;;0,58;;2660;;2,48;;
Mi., 23.Apr. 2014 19:45;0,18;;0,67;;2700;;2,49;;
Mi., 23.Apr. 2014 20:00;0,58;;0,8;;2620;;2,48;;
Mi., 23.Apr. 2014 20:15;0,29;;0,49;;2660;;2,49;;
Mi., 23.Apr. 2014 20:30;0,16;;0,48;;2650;;2,51;;
Mi., 23.Apr. 2014 20:45;0,17;;0,47;;2660;;2,48;;
Mi., 23.Apr. 2014 21:00;0,15;;0,5;;2620;;2,48;;
Mi., 23.Apr. 2014 21:15;0,18;;0,48;;2670;;2,48;;
Mi., 23.Apr. 2014 21:30;0,17;;0,51;;2650;;2,49;;
Mi., 23.Apr. 2014 21:45;0,15;;0,5;;2670;;2,47;;
Mi., 23.Apr. 2014 22:00;0,22;;0,53;;2680;;2,5;;
Mi., 23.Apr. 2014 22:15;0,19;;0,48;;2640;;2,48;;
Mi., 23.Apr. 2014 22:30;0,17;;0,47;;2620;;2,49;;
Mi., 23.Apr. 2014 22:45;0,17;;0,47;;2640;;2,49;;
Mi., 23.Apr. 2014 23:00;0,15;;0,48;;2720;;2,5;;
Mi., 23.Apr. 2014 23:15;0,16;;0,5;;2660;;2,48;;
Mi., 23.Apr. 2014 23:30;0,18;;0,52;;2640;;2,49;;
Mi., 23.Apr. 2014 23:45;0,18;;0,5;;2610;;2,48;;
Do., 24.Apr. 2014 00:00;0,17;;0,48;;2620;;2,49;;